15|Main|Pollo Guisado|Puerto Rican stewed chicken with peppers, onions, and tomato sauce|7.0
12|Main|Pernil|Slow-roasted Puerto Rican pork shoulder with crispy skin|8.5
14|Main|Griyo|Haitian fried marinated pork, citrus and spice infused|8.0
15|Main|Tasso Kabrit|Haitian spicy fried goat with herbs and citrus|9.0
13|Main|Pollo Frito|Crispy island-style fried chicken|7.0
16|Main|Bacalao Guisado|Stewed salted cod with tomato, peppers, and onions|8.0
12|Main|Arroz con Gandules|Puerto Rican rice cooked with pigeon peas and sofrito|6.0
15|Main|Diri Kole Ak Pwa|Haitian rice and beans cooked with coconut milk|6.0
14|Main|Diri Djondjon|Haitian black mushroom rice with deep earthy flavor|7.0
13|Main|Bistec Encebollado|Beef steak simmered with onions and garlic|8.5
16|Main|Pollo al Horno|Oven-roasted seasoned chicken|7.5
18|Main|Arroz Blanco|White rice served as a main starch with stews or meats|4.0
12|Main|Ropa Vieja|Cuban slow-cooked shredded beef in tomato and pepper sauce|9.5
13|Main|Conch Stew|Caribbean conch in savory tomato-based broth|10.0
13|Main|Oxtail Ragoût|Tender braised oxtail in rich spiced gravy|9.75
15|Side|Tostones|Fried green plantains, crispy and salted|1.5
14|Side|Platano Maduros|Sweet ripe fried plantains|1.5
12|Side|Yuca Frita|Fried cassava root, crunchy and starchy|1.75
15|Side|Macaroni au Gratin|Haitian baked macaroni and cheese with creamy sauce|3.5
13|Side|Ensalada Rusa|Caribbean potato and beet salad with mayo|2.75
20|Side|Pikliz|Spicy Haitian pickled cabbage, carrots, and peppers|3.0
11|Side|Legume|Haitian vegetable medley with squash, carrots, and cabbage|3.25
16|Side|Fried Corn|Seasoned fried corn kernels|2.0
15|Drink|Malta|Sweet non-alcoholic malt beverage|1.5|12
14|Drink|Coco Rico|Coconut-flavored soda|1.25|12
13|Drink|Passion Fruit Juice|Refreshing tropical passion fruit juice|2.0|16
15|Drink|Tamarind Juice|Sweet and tangy tamarind beverage|2.0|16
16|Drink|Sorrel|Tart and floral hibiscus flower beverage|2.25|16
12|Drink|Ginger Ale|Spicy homemade ginger carbonated drink|1.75|12
14|Drink|Mango Juice|Fresh tropical mango juice|2.0|16
13|Drink|Guava Juice|Sweet guava tropical beverage|2.0|16
